wysoki,tall
niski,small
przystojny,handsome (m)
piękny,beautiful/pretty
brzydki,ugly
młody,young
stary,old
gruby,fat
szczupły,slim/lean
chudy,thin
dobrze zbudowany,well-built
w średnim wieku,middle-aged
słaby,weak
silny,strong
głupy,stupid
sprytny,clever/smart
inteligentny,intelligent
mąndry,wise
interesujący,interesting
nudny,boring
nieśmiały,shy
gadatliwy,talkative
cichy,quiet
spokojny,calm
miły,kind
uprzejmy,polite
niegrzeczny,rude
niesympatyczny,unfriendly
szczęśliwy,happy
smutny,sad
podekscytowany,excited
przestraszony,scared
zły,angry
wściełky,mad
leniwy,lazy
pracowity,hard-working
uparty,stubborn
ambitny,ambitious
niecierpliwy,impatient
wredny,mean
samolubny,selfish
troskliwy,caring/loving
odważny,brave
